signature_name,classification,source_type,source_id,risk,redacted_to_safe_routing,reason,recommended_action,files_present,htm_path,source_file
Mercury CRM Email Template 1250 - Forgot Password japanese,archive/do-not-use,crm-email-template,1250,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1250 - Forgot Password japanese.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1252 - Set New Password japanese,archive/do-not-use,crm-email-template,1252,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1252 - Set New Password japanese.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1253 - Forgot Password japanese,archive/do-not-use,crm-email-template,1253,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1253 - Forgot Password japanese.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 13 - Contract Expiration Reminder (Sent to Customer Contacts),archive/do-not-use,crm-email-template,13,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 13 - Contract Expiration Reminder (Sent to Customer Contacts).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 134 - Forgot Password bulgarian,archive/do-not-use,crm-email-template,134,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 134 - Forgot Password bulgarian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1343 - Forgot Password norwegian,archive/do-not-use,crm-email-template,1343,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1343 - Forgot Password norwegian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1345 - Set New Password norwegian,archive/do-not-use,crm-email-template,1345,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1345 - Set New Password norwegian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1346 - Forgot Password norwegian,archive/do-not-use,crm-email-template,1346,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1346 - Forgot Password norwegian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 136 - Set New Password bulgarian,archive/do-not-use,crm-email-template,136,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 136 - Set New Password bulgarian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 137 - Forgot Password bulgarian,archive/do-not-use,crm-email-template,137,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 137 - Forgot Password bulgarian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 14 - New Task Assigned (Sent to Staff),archive/do-not-use,crm-email-template,14,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 14 - New Task Assigned (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1436 - Forgot Password persian,archive/do-not-use,crm-email-template,1436,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1436 - Forgot Password persian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1438 - Set New Password persian,archive/do-not-use,crm-email-template,1438,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1438 - Set New Password persian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1439 - Forgot Password persian,archive/do-not-use,crm-email-template,1439,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1439 - Forgot Password persian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 15 - Staff Member Added as Follower on Task (Sent to Staff),archive/do-not-use,crm-email-template,15,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 15 - Staff Member Added as Follower on Task (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1529 - Forgot Password polish,archive/do-not-use,crm-email-template,1529,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1529 - Forgot Password polish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1531 - Set New Password polish,archive/do-not-use,crm-email-template,1531,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1531 - Set New Password polish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1532 - Forgot Password polish,archive/do-not-use,crm-email-template,1532,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1532 - Forgot Password polish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 16 - New Comment on Task (Sent to Staff),archive/do-not-use,crm-email-template,16,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 16 - New Comment on Task (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1622 - Forgot Password portuguese,archive/do-not-use,crm-email-template,1622,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1622 - Forgot Password portuguese.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1624 - Set New Password portuguese,archive/do-not-use,crm-email-template,1624,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1624 - Set New Password portuguese.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1625 - Forgot Password portuguese,archive/do-not-use,crm-email-template,1625,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1625 - Forgot Password portuguese.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 17 - New Attachment(s) on Task (Sent to Staff),archive/do-not-use,crm-email-template,17,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 17 - New Attachment(s) on Task (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1715 - Forgot Password portuguese_br,archive/do-not-use,crm-email-template,1715,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1715 - Forgot Password portuguese_br.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1717 - Set New Password portuguese_br,archive/do-not-use,crm-email-template,1717,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1717 - Set New Password portuguese_br.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1718 - Forgot Password portuguese_br,archive/do-not-use,crm-email-template,1718,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1718 - Forgot Password portuguese_br.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 18 - Estimate Declined (Sent to Staff),archive/do-not-use,crm-email-template,18,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 18 - Estimate Declined (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1808 - Forgot Password romanian,archive/do-not-use,crm-email-template,1808,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1808 - Forgot Password romanian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1810 - Set New Password romanian,archive/do-not-use,crm-email-template,1810,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1810 - Set New Password romanian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1811 - Forgot Password romanian,archive/do-not-use,crm-email-template,1811,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1811 - Forgot Password romanian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 19 - Estimate Accepted (Sent to Staff),archive/do-not-use,crm-email-template,19,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 19 - Estimate Accepted (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1901 - Forgot Password russian,archive/do-not-use,crm-email-template,1901,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1901 - Forgot Password russian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1903 - Set New Password russian,archive/do-not-use,crm-email-template,1903,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1903 - Set New Password russian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1904 - Forgot Password russian,archive/do-not-use,crm-email-template,1904,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1904 - Forgot Password russian.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1994 - Forgot Password slovak,archive/do-not-use,crm-email-template,1994,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1994 - Forgot Password slovak.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1996 - Set New Password slovak,archive/do-not-use,crm-email-template,1996,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1996 - Set New Password slovak.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 1997 - Forgot Password slovak,archive/do-not-use,crm-email-template,1997,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 1997 - Forgot Password slovak.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2 - Send Invoice to Customer,archive/do-not-use,crm-email-template,2,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2 - Send Invoice to Customer.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 20 - Customer Action - Accepted (Sent to Staff),archive/do-not-use,crm-email-template,20,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 20 - Customer Action - Accepted (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2087 - Forgot Password spanish,archive/do-not-use,crm-email-template,2087,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2087 - Forgot Password spanish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2089 - Set New Password spanish,archive/do-not-use,crm-email-template,2089,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2089 - Set New Password spanish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2090 - Forgot Password spanish,archive/do-not-use,crm-email-template,2090,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2090 - Forgot Password spanish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 21 - Send Proposal to Customer,archive/do-not-use,crm-email-template,21,restricted-safe-routing,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 21 - Send Proposal to Customer.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2180 - Forgot Password swedish,archive/do-not-use,crm-email-template,2180,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2180 - Forgot Password swedish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2182 - Set New Password swedish,archive/do-not-use,crm-email-template,2182,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2182 - Set New Password swedish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 2183 - Forgot Password swedish,archive/do-not-use,crm-email-template,2183,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 2183 - Forgot Password swedish.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 22 - Customer Action - Declined (Sent to Staff),archive/do-not-use,crm-email-template,22,routine-safe,False,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 22 - Customer Action - Declined (Sent to Staff).htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
Mercury CRM Email Template 227 - Forgot Password catalan,archive/do-not-use,crm-email-template,227,restricted-redacted-safe-routing,True,Old CRM automated/system event template or credential/reset workflow; not a hand-reply signature.,Do not use for client replies; replace with Mercury safe reply pack when needed.,.htm; .txt; .rtf,C:\Users\uscap\AppData\Roaming\Microsoft\Signatures\Mercury CRM Email Template 227 - Forgot Password catalan.htm,D:\GithubRepos\uscapitalprivatebank-site\crm\sitebackup\source_artifacts\CRM.sql
